address,suburb,price,bed,bath,car
"41 Kavel Street",Torrens ACT 2607,"Auction 02/09/21",3,1
"1 Rangiari Street",Bonner ACT 2914,"Auction 02/09/21",2,1,1
"91/93 Ainsworth Street",Mawson ACT 2607,"Auction 02/09/21",
"22 Mary Gillespie Avenue",Gungahlin ACT 2912,"Auction 02/09/21",4,2,2
"16 Fergusson Crescent",Deakin ACT 2600,"Auction 02/09/21",
"7 Eaton Place",Monash ACT 2904,"Auction 04/09/21",3,2,6
"8/39 Chandler Street",Belconnen ACT 2617,"Auction 04/09/21",3,2,2
"11/3 Felstead Vista",Denman Prospect ACT 2611,"Auction 04/09/21",2,2,1
"5/554A Cotter Road",Coombs ACT 2611,"Auction 04/09/21",3,2,2
"19 Lowrie Street",Dickson ACT 2602,"Auction 04/09/21",3,1,1
"63 Bugden Avenue",Gowrie ACT 2904,"Auction 04/09/21",5,3,2
"44 Cargelligo Street",Duffy ACT 2611,"Auction 04/09/21",4,2,2
"112 Kitchener Street",Garran ACT 2605,"Auction 04/09/21",3,1,1
"49 Jorgensen Street",Moncrieff ACT 2914,"Auction 04/09/21",4,2,2
"116 Theodore Street",Curtin ACT 2605,"Auction 04/09/21",4,2,1
"16 Pogson Street",Moncrieff ACT 2914,"Auction 04/09/21",4,2,2
"18 Knaggs Crescent",Page ACT 2614,"Auction 08/09/21",4,1,2
"8/14 Marr Street",Pearce ACT 2607,"Auction 09/09/21",2,1,1
"44 Piddington Street",Watson ACT 2602,"Auction 09/09/21",4,3,2
"2 Stacy Street",Gowrie ACT 2904,"Auction 10/09/21",3,2,2
"18 Cradle Close",Palmerston ACT 2913,"Auction 10/09/21",3,1,1
"4 Saxby Close",Amaroo ACT 2914,"Auction 11/09/21",3,3,3
"62 Abercorn Crescent",Isabella Plains ACT 2905,"Auction 11/09/21",3,2,4
"38 Carslake Loop",Gordon ACT 2906,"Auction 11/09/21",4,2,2
"17 Crofts Crescent",Spence ACT 2615,"Auction 11/09/21",4,2,4
"69 Printers Way",Kingston ACT 2604,"Auction 11/09/21",4,3,2
"115 Walker Crescent",Narrabundah ACT 2604,"Auction 11/09/21",5,2,1
"2 Harry Hopman Circuit",Gordon ACT 2906,"Auction 11/09/21",4,2,3
"7/10 Taronga Place",O'Malley ACT 2606,"Auction 11/09/21",4,2,2
"8 Mayer Court",Bruce ACT 2617,"Auction 11/09/21",3,2,2
"4 Bennelong Crescent",Macquarie ACT 2614,"Auction 11/09/21",3,1,2
"25A MacGregor Street",Deakin ACT 2600,"Auction 11/09/21",3,2,2
"26 Lightfoot Crescent",Florey ACT 2615,"Auction 11/09/21",3,2,2
"20 Notting Court",Banks ACT 2906,"Auction 11/09/21",3,2,1
"6/14 Holder Street",Turner ACT 2612,"Auction 11/09/21",3,2,2
"4 Oodgeroo Avenue",Franklin ACT 2913,"Auction 11/09/21",5,4,2
"16 Rogers Street",Fraser ACT 2615,"Auction 11/09/21",6,3,2
"24 Elia Ware Crescent",Bonner ACT 2914,"Auction 11/09/21",4,2,2
"36 Auburn Street",Amaroo ACT 2914,"Auction 12/09/21",3,2,2
"58 Dawes Street",Kingston ACT 2604,"Auction 14/09/21",4,4,3
"30 Sidaway Street",Chapman ACT 2611,"Auction 14/09/21",4,2,2
"4/65 Giles Street",Kingston ACT 2604,"Auction 15/09/21",2,2,1
"8 Mana Place",Giralang ACT 2617,"Auction 15/09/21",4,2,2
"23 Lowrie Street",Dickson ACT 2602,"Auction 16/09/21",3,1,1
"1/75 Hilder Street",Weston ACT 2611,"Auction 18/09/21",3,3,2
"3 Lightfoot Crescent",Florey ACT 2615,"Auction 18/09/21",3,2,2
"264 Goyder Street",Narrabundah ACT 2604,"Auction 18/09/21",
